NC_010554.1 Proteus mirabilis HI4320, complete genome
NZ_LJCS01000210.1 Photorhabdus heterorhabditis strain VMG contig210, whole genome shotgun sequence
NZ_LJCS01000211.1 Photorhabdus heterorhabditis strain VMG contig211, whole genome shotgun sequence
NZ_LJCS01000212.1 Photorhabdus heterorhabditis strain VMG contig212, whole genome shotgun sequence
NZ_LJCS01000213.1 Photorhabdus heterorhabditis strain VMG contig213, whole genome shotgun sequence
NZ_LJCS01000214.1 Photorhabdus heterorhabditis strain VMG contig214, whole genome shotgun sequence
NZ_LJCS01000215.1 Photorhabdus heterorhabditis strain VMG contig215, whole genome shotgun sequence
NZ_LJCS01000216.1 Photorhabdus heterorhabditis strain VMG contig216, whole genome shotgun sequence
NZ_LJCS01000217.1 Photorhabdus heterorhabditis strain VMG contig217, whole genome shotgun sequence
NZ_LJCS01000218.1 Photorhabdus heterorhabditis strain VMG contig218, whole genome shotgun sequence
NZ_LJCS01000219.1 Photorhabdus heterorhabditis strain VMG contig219, whole genome shotgun sequence
NZ_LJCS01000220.1 Photorhabdus heterorhabditis strain VMG contig220, whole genome shotgun sequence
NZ_LJCS01000221.1 Photorhabdus heterorhabditis strain VMG contig221, whole genome shotgun sequence
NZ_LJCS01000222.1 Photorhabdus heterorhabditis strain VMG contig222, whole genome shotgun sequence
NZ_LJCS01000223.1 Photorhabdus heterorhabditis strain VMG contig223, whole genome shotgun sequence
NZ_LJCS01000224.1 Photorhabdus heterorhabditis strain VMG contig224, whole genome shotgun sequence
NZ_LJCS01000225.1 Photorhabdus heterorhabditis strain VMG contig225, whole genome shotgun sequence
NZ_LJCS01000226.1 Photorhabdus heterorhabditis strain VMG contig226, whole genome shotgun sequence
NZ_LJCS01000227.1 Photorhabdus heterorhabditis strain VMG contig227, whole genome shotgun sequence
NZ_LJCS01000228.1 Photorhabdus heterorhabditis strain VMG contig228, whole genome shotgun sequence
NZ_LJCS01000229.1 Photorhabdus heterorhabditis strain VMG contig229, whole genome shotgun sequence
NZ_LJCS01000230.1 Photorhabdus heterorhabditis strain VMG contig230, whole genome shotgun sequence
NZ_LJCS01000231.1 Photorhabdus heterorhabditis strain VMG contig231, whole genome shotgun sequence
NZ_LJCS01000232.1 Photorhabdus heterorhabditis strain VMG contig232, whole genome shotgun sequence
NZ_LJCS01000233.1 Photorhabdus heterorhabditis strain VMG contig233, whole genome shotgun sequence
NZ_LJCS01000234.1 Photorhabdus heterorhabditis strain VMG contig234, whole genome shotgun sequence
NZ_LJCS01000235.1 Photorhabdus heterorhabditis strain VMG contig235, whole genome shotgun sequence
NZ_LJCS01000236.1 Photorhabdus heterorhabditis strain VMG contig236, whole genome shotgun sequence
NZ_LJCS01000237.1 Photorhabdus heterorhabditis strain VMG contig237, whole genome shotgun sequence
NZ_LJCS01000238.1 Photorhabdus heterorhabditis strain VMG contig238, whole genome shotgun sequence
NZ_LJCS01000239.1 Photorhabdus heterorhabditis strain VMG contig239, whole genome shotgun sequence
NZ_LJCS01000240.1 Photorhabdus heterorhabditis strain VMG contig240, whole genome shotgun sequence
NZ_LJCS01000241.1 Photorhabdus heterorhabditis strain VMG contig241, whole genome shotgun sequence
NZ_LJCS01000242.1 Photorhabdus heterorhabditis strain VMG contig242, whole genome shotgun sequence
NZ_LJCS01000243.1 Photorhabdus heterorhabditis strain VMG contig243, whole genome shotgun sequence
NZ_LJCS01000244.1 Photorhabdus heterorhabditis strain VMG contig244, whole genome shotgun sequence
NZ_LJCS01000245.1 Photorhabdus heterorhabditis strain VMG contig245, whole genome shotgun sequence
NZ_LJCS01000246.1 Photorhabdus heterorhabditis strain VMG contig246, whole genome shotgun sequence
NZ_LJCS01000247.1 Photorhabdus heterorhabditis strain VMG contig247, whole genome shotgun sequence
NZ_LJCS01000248.1 Photorhabdus heterorhabditis strain VMG contig248, whole genome shotgun sequence
NZ_LJCS01000249.1 Photorhabdus heterorhabditis strain VMG contig249, whole genome shotgun sequence
NZ_LJCS01000250.1 Photorhabdus heterorhabditis strain VMG contig250, whole genome shotgun sequence
NZ_LJCS01000251.1 Photorhabdus heterorhabditis strain VMG contig251, whole genome shotgun sequence
NZ_LJCS01000252.1 Photorhabdus heterorhabditis strain VMG contig252, whole genome shotgun sequence
NZ_LJCS01000253.1 Photorhabdus heterorhabditis strain VMG contig253, whole genome shotgun sequence
NZ_LJCS01000254.1 Photorhabdus heterorhabditis strain VMG contig254, whole genome shotgun sequence
NZ_LJCS01000255.1 Photorhabdus heterorhabditis strain VMG contig255, whole genome shotgun sequence
NZ_LJCS01000256.1 Photorhabdus heterorhabditis strain VMG contig256, whole genome shotgun sequence
NZ_LJCS01000257.1 Photorhabdus heterorhabditis strain VMG contig257, whole genome shotgun sequence
NZ_LJCS01000258.1 Photorhabdus heterorhabditis strain VMG contig258, whole genome shotgun sequence
NZ_LJCS01000259.1 Photorhabdus heterorhabditis strain VMG contig259, whole genome shotgun sequence
NZ_LJCS01000260.1 Photorhabdus heterorhabditis strain VMG contig260, whole genome shotgun sequence
NZ_LJCS01000261.1 Photorhabdus heterorhabditis strain VMG contig261, whole genome shotgun sequence
